time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
0.013724165997700766,eog_left,1,0,,0,0,8,centered_signal=2581.950;movement=lane_changed
1.8910173749900423,eog_left,0,0,,0,0,8,centered_signal=2578.841;movement=blocked_at_edge
4.526823040985619,gate_spawn,0,0,1,0,0,8,
5.328137415999663,eog_left,0,0,,0,0,8,centered_signal=2582.983;movement=blocked_at_edge
6.919776540991734,gate_spawn,0,0,1,0,0,8,
7.149155999999493,eog_left,0,0,,0,0,8,centered_signal=3058.301;movement=blocked_at_edge
7.497209457986173,gate_missed,0,0,1,0,0,7,
8.396484540993697,eog_right,0,1,,0,0,7,centered_signal=-2710.761;movement=lane_changed
8.807486082994728,eog_left,1,0,,0,0,7,centered_signal=2539.170;movement=lane_changed
9.3033904999902,gate_spawn,0,0,0,0,0,7,
9.882411749989842,gate_missed,0,0,1,0,0,6,
9.898568332995637,eog_left,0,0,,0,0,6,centered_signal=2898.747;movement=blocked_at_edge
11.703577582986327,gate_spawn,0,0,1,0,0,6,
12.249516249998123,gate_passed,0,0,0,100,1,6,multiplier=1.0;points=100
13.544497499999125,eog_left,0,0,,100,1,6,centered_signal=3914.818;movement=blocked_at_edge
14.10150249999424,gate_spawn,0,0,1,100,1,6,
14.4810582909995,eog_left,0,0,,100,1,6,centered_signal=2846.113;movement=blocked_at_edge
14.62556262499129,gate_missed,0,0,1,0,0,5,
15.42217508298927,eog_right,0,1,,0,0,5,centered_signal=-2848.211;movement=lane_changed
16.098467624993646,eog_left,1,0,,0,0,5,centered_signal=2551.718;movement=lane_changed
16.51792616599414,gate_spawn,0,0,0,0,0,5,
16.73074220799026,eog_right,0,1,,0,0,5,centered_signal=-2924.151;movement=lane_changed
17.00930670798698,gate_passed,1,1,1,100,1,5,multiplier=1.0;points=100
17.139377040992258,eog_left,1,0,,100,1,5,centered_signal=3368.573;movement=lane_changed
18.917127875000006,gate_spawn,0,0,0,100,1,5,
19.416685707998113,gate_passed,0,0,0,200,2,5,multiplier=1.0;points=100
19.495237665993045,eog_left,0,0,,200,2,5,centered_signal=2560.437;movement=blocked_at_edge
21.308074207991012,gate_spawn,0,0,1,200,2,5,
21.795128124998882,gate_passed,0,0,0,350,3,5,multiplier=1.5;points=150
22.148873290992924,eog_right,0,1,,350,3,5,centered_signal=-2546.732;movement=lane_changed
22.55765295799938,eog_left,1,0,,350,3,5,centered_signal=3688.887;movement=lane_changed
23.089550915989093,eog_right,0,1,,350,3,5,centered_signal=-2923.404;movement=lane_changed
23.704844832987874,gate_spawn,1,1,2,350,3,5,
24.0149450829922,eog_left,1,0,,350,3,5,centered_signal=2818.703;movement=lane_changed
24.16599304099509,gate_missed,0,0,1,250,0,4,
25.316679374998785,eog_right,0,1,,250,0,4,centered_signal=-2864.137;movement=lane_changed
26.1009308329958,gate_spawn,1,1,1,250,0,4,
26.513299040991114,eog_left,1,0,,250,0,4,centered_signal=2563.413;movement=lane_changed
26.540703207996557,gate_missed,0,0,2,150,0,3,
27.555932957999175,eog_right,0,1,,150,0,3,centered_signal=-2698.945;movement=lane_changed
27.98265066598833,eog_left,1,0,,150,0,3,centered_signal=3433.325;movement=lane_changed
28.509412332990905,gate_spawn,0,0,1,150,0,3,
28.555677957992884,eog_right,0,1,,150,0,3,centered_signal=-3091.230;movement=lane_changed
28.92398987499473,gate_passed,1,1,1,250,1,3,multiplier=1.0;points=100
28.963712999990094,eog_left,1,0,,250,1,3,centered_signal=2761.156;movement=lane_changed
30.003447415991104,eog_right,0,1,,250,1,3,centered_signal=-3226.270;movement=lane_changed
30.90828070799762,gate_spawn,1,1,0,250,1,3,
31.29558795799676,gate_passed,1,1,1,350,2,3,multiplier=1.0;points=100
31.315343915994163,eog_left,1,0,,350,2,3,centered_signal=2867.751;movement=lane_changed
33.31024254098884,gate_spawn,0,0,1,350,2,3,
33.69353229099943,gate_passed,0,0,0,500,3,3,multiplier=1.5;points=150
34.026021582991234,eog_left,0,0,,500,3,3,centered_signal=2818.402;movement=blocked_at_edge
34.95096708298661,eog_right,0,1,,500,3,3,centered_signal=-2718.985;movement=lane_changed
35.37827162499889,eog_left,1,0,,500,3,3,centered_signal=3788.561;movement=lane_changed
35.72525587498967,gate_spawn,0,0,0,500,3,3,
36.07801254099468,gate_missed,0,0,1,400,0,2,
38.100977332986076,gate_spawn,0,0,0,400,0,2,
38.46669737499906,gate_passed,0,0,0,500,1,2,multiplier=1.0;points=100
40.50099862499337,gate_spawn,0,0,1,500,1,2,
40.829762874986045,gate_passed,0,0,0,600,2,2,multiplier=1.0;points=100
41.097871457997826,eog_left,0,0,,600,2,2,centered_signal=2518.214;movement=blocked_at_edge
41.775155665993225,eog_left,0,0,,600,2,2,centered_signal=3104.007;movement=blocked_at_edge
42.66288304098998,eog_left,0,0,,600,2,2,centered_signal=2968.102;movement=blocked_at_edge
42.91830470798595,gate_spawn,0,0,0,600,2,2,
43.204202957989764,gate_missed,0,0,1,500,0,1,
45.30803499999456,gate_spawn,0,0,0,500,0,1,
45.61353866598802,gate_passed,0,0,0,600,1,1,multiplier=1.0;points=100
46.20157637499506,eog_left,0,0,,600,1,1,centered_signal=2515.775;movement=blocked_at_edge
47.71328862498922,gate_spawn,0,0,1,600,1,1,
47.9756917499908,gate_passed,0,0,0,700,2,1,multiplier=1.0;points=100
48.650001874993904,eog_right,0,1,,700,2,1,centered_signal=-2634.562;movement=lane_changed
49.11938270799874,eog_left,1,0,,700,2,1,centered_signal=2543.790;movement=lane_changed
49.69222879099834,eog_right,0,1,,700,2,1,centered_signal=-2607.375;movement=lane_changed
50.111435374987195,gate_spawn,1,1,2,700,2,1,
50.379953207986546,gate_passed,1,1,1,850,3,1,multiplier=1.5;points=150
51.005462040993734,eog_right,1,2,,850,3,1,centered_signal=-2812.700;movement=lane_changed
51.77460616600001,eog_left,2,1,,850,3,1,centered_signal=3202.791;movement=lane_changed
52.504969624991645,gate_spawn,1,1,2,850,3,1,
52.662843915997655,eog_left,1,0,,850,3,1,centered_signal=2540.940;movement=lane_changed
52.75771124998573,gate_missed,0,0,2,750,0,0,
